ID,category,name,price,link,brand,warranty,model_name,use_case,series,color,material,side_panel,Kích thước,form_factor,mb_support,drive_bays,Cổng kết nối,max_cooler_height,Kích thước radiator tối đa,front_fan,top_fan,rear_fan,Loại quạt hỗ trợ bên hông,Loại quạt hỗ trợ bên dưới,Số slot PCI,part_number,Số lượng quạt tặng kèm,led,tier,warranty_period,sku,status,features,availability,warranty_desc,highlights
case_001,Case,Vỏ máy tính/ CASE Cooler Master COSMOS Alpha Gold,19990000,https://phongvu.vn/vo-may-tinh-case-cooler-master-cosmos-alpha-gold--s260304422,Cooler Master,24 tháng,COSMOS Alpha Gold,Gaming,Cosmos,Gold,Thép,Kính cường lực,669 x 330 x 639 mm,Full Tower,"Mini-ITX, Micro-ATX, ATX, Extended-ATX, SSI EEB","2 x 3.5"" , 2 x 2.5""","4 x USB 3.2 , 2 x USB Type C",186 mm,420 mm,"3 x 120 mm, 3 x 140 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 200 mm, 2 x 180 mm",3 x 120 mm,"3 x 120 mm, 3 x 140 mm, 2 x 180 mm, 2 x 200 mm","3 x 120 mm, 2 x 140 mm, 2 x 180 mm, 2 x 200 mm",8,,,,,,,,,,,
case_002,Case,Vỏ máy tính/ Case Xigmatek Cloud M DGT - Đen (EN49859),790000,https://phongvu.vn/thung-may-case-xigmatek-cloud-m-dgt-den-en49859--s260302631,Xigmatek,12 tháng,Cloud M DGT,"Gaming, Văn phòng, Học sinh - Sinh viên",,Đen,Thép,,420 x 285 x 382mm,Micro Tower,"Micro-ATX, Mini-ITX","1 x 3.5"" , 2 x 2.5""","1 x USB 2.0 , 1 x USB 3.0",175mm,360 mm,,3 x 120mm/2 x 140mm,1 x 120 mm,2 x 120mm/2 x 140mm,3 x 120mm/2 x 140mm,4,EN49859,,,,,,,,,,
case_003,Case,Thùng máy/ Case Jonsbo D400 (ATX),1590000,https://phongvu.vn/thung-may-case-jonsbo-d400-white-atx--s260302526,Jonsbo,12 tháng,D400,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,"Thép, Nhựa",Kính cường lực,488 x 239 x 514mm,Mid Tower,"ATX, Micro-ATX, Mini-ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 3.0 , 1 x USB Type C",169mm,360 mm,,3 x 120mm/2 x 140mm,1 x 120 mm,3 x 120 mm,,,,,,,,,,,,,
case_004,Case,Thùng máy/ Case Jonsbo D300 (M-ATX),1690000,https://phongvu.vn/thung-may-case-jonsbo-d300-white-m-atx--s260302519,Jonsbo,12 tháng,D300,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,Kính cường lực,23.64 x 42.09 x 46.02 cm,Mid Tower,"ITX, Micro-ATX","1 x 3.5"" , 2 x 2.5""","2 x USB 3.0 , 1 x USB Type C",180mm,Trên 360mm / Sau 140mm,2 x 120mm/1 x 140mm,3 x 120mm/2 x 140mm,1 x 120/140mm,3 x 120 mm,1 x 120 mm,,,,,,,,,,,,
case_005,Case,Thùng máy/ Case Jonsbo D32 STD (M-ATX),990000,https://phongvu.vn/thung-may-case-jonsbo-d32-std-white-m-atx--s260302506,Jonsbo,12 tháng,D32 STD,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,,395 x 207 x 314 mm,Mini Tower,"Mini-ITX, Micro-ATX","1 x 3.5"" , 3 x 2.5""","1 x USB 3.2 , 1 x USB Type C",Up to 164mm (Intel CPU) or 163mm (AMD CPU),240 mm,,2 x 120mm/2 x 140mm,1 x 120 mm,,3 x 120mm/2 x 140mm,,,,,,,,,,,,
case_006,Case,Thùng máy/ Case Jonsbo C6 Max (M-ATX),990000,https://phongvu.vn/thung-may-case-jonsbo-c6-max-white-m-atx--s260302494,Jonsbo,12 tháng,C6 Max,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,,202 x 349 x 295 mm,Micro Tower,"ITX, Micro-ATX","1 x 3.5"" , 1 x 2.5""","1 x USB 3.0 , 1 x USB Type C",170mm,,,2 x 120mm/1 x 140mm,1 x 120 mm,,2 x 120 mm,,,,,,,,,,,,
case_007,Case,Vỏ máy tính/ Case Jonsbo BO400 (ATX),5690000,https://phongvu.vn/thung-may-case-jonsbo-bo400-atx--s260302481,Jonsbo,12 tháng,BO400,"Gaming, Văn phòng, Học sinh - Sinh viên",,Đen,"Thép, Nhôm",,474 × 311 × 489 mm,Mid Tower,"Mini-ITX, Micro-ATX, ATX","4 x 3.5"" , 2 x 2.5""","2 x USB 3.2 , 1 x USB Type C",173mm,,,3 x 120mm/2 x 140mm,1 x 120 mm,3 x 120 mm,3 x 120mm/2 x 140mm,,,,,,,,,,,,
case_008,Case,Thùng máy/ Case Jonsbo TK-3 (ATX),1890000,https://phongvu.vn/thung-may-case-jonsbo-tk-3-white-atx--s260302472,Jonsbo,12 tháng,TK-3,"Văn phòng, Gaming, Học sinh - Sinh viên",,Trắng,Thép,Kính cường lực,288 x 438 x 415mm,Mid Tower,"ITX, Micro-ATX, ATX","2 x 3.5"" , 1 x 2.5""","2 x USB 3.0 , 1 x USB Type C",165mm,360 mm,,3 x 120mm/2 x 140mm,,1 x 120 mm,3 x 120 mm,7,,,,,,,,,,,
case_009,Case,Vỏ máy tính/ CASE MAGIC ES GASMING Aircraft 007 BLACK Ultra-Cool Display ARGB 3 FAN,4490000,https://phongvu.vn/thung-may-case-magic-es-gasming-aircraft-007-black-ultra-cool-display-argb-3-fan--s260200455,Magic,12 tháng,ES GASMING Aircraft 007 BLACK Ultra-Cool Display ARGB 3 FAN,Gaming,,Đen,Thép,Kính cường lực,439 x 300 x 388 mm,Mid Tower,"Micro-ATX, ITX","2 x 3.5"" , 2 x 2.5""","2 x USB 2.0 , 2 x USB 3.0",168mm,360 mm,,3 x 120 mm,1 x 120 mm,3 x 120 mm,3 x 120 mm,,,,,,,,,,,,
case_010,Case,Thùng máy/ CASE Xigmatek MYX Air 3F (3 Fan) (EN49125),749000,https://phongvu.vn/thung-may-case-xigmatek-myx-air-3f-3-fan-en49125--s251211482,Xigmatek,12 tháng,MYX Air 3F,Gaming,,Đen,,Kính cường lực,330 x 195 x 423 mm,Mid Tower,"Micro-ATX, ITX","1 x 3.5"" , 1 x 2.5""","2 x USB 2.0 , 1 x USB 3.0",158mm,Trước 240mm / Sau 120mm,3 x 120 mm,2 x 120 mm,1 x 120 mm,,,4,EN49125,,,,,,,,,,
