ID,category,name,price,link,brand,warranty,type,Kích thước quạt (mm),socket_support,led,color,radiator_size,Số vòng quay của bơm (RPM),Số vòng quay của quạt (RPM),Lưu lượng không khí (CFM),noise_dba,weight_kg,Chiều cao (cm),material,tier,warranty_period,sku,status,features,availability,highlights
cooler_001,Cooler,Tản nhiệt nước AIO DARKFLASH UV360 - Đen,5490000,https://phongvu.vn/tan-nhiet-nuoc-aio-darkflash-uv360-den--s260400552,DarkFlash,36 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1155, Intel LGA 1156, Intel LGA 1150, Intel LGA 1200, Intel LGA 1700, Intel LGA 1851, AMD AM5, AMD AM4, AMD AM3",ARGB,Đen,397 x 120 x 27mm,2700 ± 10% RPM,800~1800 ± 10% RPM,55.22 CFM,36±10% dBA,2.5Kg,,,,,,,,,
cooler_002,Cooler,Tản nhiệt khí JONSBO HP-600 - Đen,790000,https://phongvu.vn/tan-nhiet-khi-jonsbo-hp-600-den--s260301658,Jonsbo,24 tháng,Tản khí,120 mm,"Intel LGA 115X, Intel LGA 1200, Intel LGA 1700, AMD AM4, AMD AM5",,Đen,,,8.00 -1800RPM (±10%),23.46-61.51 CFM (Tối đa),18.3-37.2 dB (A) (Tối đa),,,,,,,,,,
cooler_003,Cooler,Quạt thùng máy/ Fan case DARKFLASH DM18 Reverse - Đen,189000,https://phongvu.vn/quat-thung-may-fan-case-darkflash-dm18-reverse-den--s260301652,DarkFlash,12 tháng,Quạt,120 mm,,ARGB,Đen,,,800-1600 vòng/phút ±10%,58.0 CFM,33.6 dBA,,120mm,,,,,,,,
cooler_004,Cooler,Quạt thùng máy/ Fan case DARKFLASH DM18 - Đen,189000,https://phongvu.vn/quat-thung-may-fan-case-darkflash-dm18-den--s260301645,DarkFlash,12 tháng,Quạt,120 mm,,ARGB,Đen,,,800-1600 vòng/phút ±10%,58.0 CFM,33.6 dBA,,120mm,,,,,,,,
cooler_005,Cooler,Quạt thùng máy/ Fan case DARKFLASH DM8 SE Reverse - Đen,169000,https://phongvu.vn/quat-thung-may-fan-case-darkflash-dm8-se-reverse-den--s260301639,DarkFlash,12 tháng,Quạt,120 mm,,ARGB,Đen,,,800-1600 vòng/phút ±10%,58.0 CFM,33.6 dBA,,120mm,,,,,,,,
cooler_006,Cooler,Quạt thùng máy/ Fan case DARKFLASH DM8 SE - Đen,169000,https://phongvu.vn/quat-thung-may-fan-case-darkflash-dm8-se-den--s260301629,DarkFlash,12 tháng,Quạt,120 mm,,ARGB,Đen,,,800-1600 vòng/phút ±10,58.0 CFM,33.6 dBA,,120mm,,,,,,,,
cooler_007,Cooler,Tản nhiệt khí JONSBO CB40 BLACK ARGB,490000,https://phongvu.vn/tan-nhiet-khi-jonsbo-cb40-black-argb--s260107665,Jonsbo,24 tháng,Tản khí,120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM4, Intel LGA 1200, Intel LGA 1700, Intel LGA 1851, AMD AM5",ARGB,Đen,120 × 71 × 153.5 mm,,800 – 1800 RPM (±10%),37.77 – 77.07 CFM,21.8 – 35.4 dB(A),500 g,,Nhôm,,,,,,,
cooler_008,Cooler,Tản nhiệt nước Cooler Master MasterLiquid 360 Core II ARGB,1890000,https://phongvu.vn/tan-nhiet-nuoc-cooler-master-masterliquid-360-core-ii-argb--s260105678,Cooler Master,60 tháng,Tản nước,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1156, AMD AM4, Intel LGA 1851, AMD AM5, Intel LGA 1700, Intel LGA 1200, Intel LGA 1155",RGB,Đen,394 x 119.2 x 27.2 mm,3000 ± 300 RPM,650-1750 RPM ± 10%,70.5 CFM,25 dBA,2.2 kg,400 mm,Nhôm,,,,,,,
cooler_009,Cooler,Tản nhiệt khi/ COOLER AIGO ICE200 PRO RGB - Đen,199000,https://phongvu.vn/tan-nhiet-khi-cooler-aigo-ice200-pro-rgb-den--s251202905,Aigo,36 tháng,Tản khí,1 x 90 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, Intel LGA 775, Intel LGA 1700, AMD AM5, AMD AM2, AMD AM2+, AMD AM3",RGB,Đen,92 x 62 x 132 mm,,1800RPM±10%,42 CFM,21.05 dBA,0.21 kg,,Nhôm,,,,,,,
cooler_010,Cooler,Tản nhiệt nước/ COOLER MSI MAG CORELIQUID A13 240 Đen,1690000,https://phongvu.vn/tan-nhiet-nuoc-cooler-msi-mag-coreliquid-a13-240-den--s251113503,Msi,36 tháng,Tản nước,2 x 120 mm,"Intel LGA 1700, Intel LGA 1851, AMD AM5, AMD AM4",ARGB,Đen,240mm,3800 RPM ± 10%,,62.6 CFM,20dBA,,,Nhôm,,,,,,,
cooler_011,Cooler,Quạt tản nhiệt/ Fan Case MAGIC FC-04 ARGB BLACK (Ngược),169000,https://phongvu.vn/quat-tan-nhiet-fan-case-magic-fc-04-argb-black-nguoc--s251113493,Magic,12 tháng,Tản khí,120 mm,,ARGB,Đen,,,800-2000±10% RPM,40.60 CFM,<18.71 dBA,900g,,,,,,,,,
cooler_012,Cooler,Quạt tản nhiệt/ Fan Case MAGIC FC-04 ARGB BLACK,169000,https://phongvu.vn/quat-tan-nhiet-fan-case-magic-fc-04-argb-black--s251113479,Magic,12 tháng,Tản khí,120 mm,,ARGB,Đen,,,800-2000±10% RPM,40.60 CFM,<18.71 dBA,900g,,,,,,,,,
cooler_013,Cooler,Tản nhiệt khí/ COOLER CPU ID-COOLING FROZN A410 TD,690000,https://phongvu.vn/tan-nhiet-khi-cooler-cpu-id-cooling-frozn-a410-td--s251012780,ID-Cooling,36 tháng,Tản khí,120 mm,"Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",,Đen,,,500 ~ 2000±10% RPM,78.25CFM,29.85dB(A) Max.,750g,,Nhôm,,,,,,,
cooler_014,Cooler,Tản nhiệt nước/ COOLER ID-COOLING FX240 ARGB LCD,1690000,https://phongvu.vn/tan-nhiet-nuoc-cooler-id-cooling-fx240-argb-lcd--s251012782,ID-Cooling,36 tháng,Tản nước,120 mm,"Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",ARGB,Đen,276×120×27mm,2900RPM±10%(PWM),300～2000±10%RPM,58CFM,27.2dB(A) Max.,,,Nhôm,,,,,,,
cooler_015,Cooler,Tản nhiệt nước/ Cooler AIO Jonsbo TH-360 White,1790000,https://phongvu.vn/tan-nhiet-nuoc-cooler-aio-jonsbo-th-360-white--s250906289,Jonsbo,12 tháng,Tản nước,3 x 120 mm,"Intel LGA 1200, Intel LGA 115X, Intel LGA 17XX, Intel LGA 1851, AMD AM4, AMD AM5",ARGB,Trắng,393 x 120 x 27 mm,2400rpm（±10%）,700-2400 rpm(±10%),21.46-62.40CFM(each),21.3-37.3dB(A)(max),,,,,,,,,,
cooler_016,Cooler,Quạt tản nhiệt/ Fan Case Jonsbo ZA-240BR,559000,https://phongvu.vn/quat-tan-nhiet-fan-case-jonsbo-za-240br--s250906287,Jonsbo,24 tháng,Quạt,2 x 120 mm,,ARGB,Đen,,,700-1800rpm(±10%),19.46-44.58 CFM,17.3-31.6 dB（A）,,,,,,,,,,
cooler_017,Cooler,Quạt tản nhiệt/ Fan Case Jonsbo ZA-360W,869000,https://phongvu.vn/quat-tan-nhiet-fan-case-jonsbo-za-360w--s250906284,Jonsbo,24 tháng,Quạt,3 x 120 mm,,ARGB,Trắng,,,700-2400rpm（±10%）,21.46-62.40 CFM,21.3-37.3 dB（A）,,,,,,,,,,
cooler_018,Cooler,Tản nhiệt nước/ COOLER ASUS PRIME LC 240 ARGB (90RC0111-B0UAY0),1790000,https://phongvu.vn/tan-nhiet-nuoc-cooler-asus-prime-lc-240-argb-90rc0111-b0uay0--s250906237,Asus,72 tháng,Tản nước,2 x 120 mm,"Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM4, AMD AM5",ARGB,Đen,Đồng,,600 - 2200 vòng/phút +/- 10%,75.7 CFM,34 dB(A),,,Đồng,,,,,,,
cooler_019,Cooler,Quạt tản nhiệt/ FAN Xigmatek Infinity Pro 3 - EN47756 - Đen,129000,https://phongvu.vn/quat-tan-nhiet-fan-xigmatek-infinity-pro-3-en47756-den--s250800362,Xigmatek,12 tháng,Quạt,1 x 120 mm,,RGB,Đen,,,1200 RPM (±10%),40.60 CFM,<19.80 dBA,,,,,,,,,,
cooler_020,Cooler,Quạt tản nhiệt/ FAN Xigmatek Infinity Pro 3 Arctic - EN47763 - Trắng,129000,https://phongvu.vn/quat-tan-nhiet-fan-xigmatek-infinity-pro-3-arctic-en47763-trang--s250800364,Xigmatek,12 tháng,Quạt,1 x 120 mm,,RGB,Trắng,,,1200 RPM (±10%),,<19.80 dBA,,,,,,,,,,
cooler_021,Cooler,BỘ TẢN NHIỆT NƯỚC NZXT KRAKEN PLUS 360 RGB V2 WHITE - 360MM (RL-KR360-W2),5290000,https://phongvu.vn/bo-tan-nhiet-nuoc-nzxt-kraken-plus-360-rgb-v2-white-360mm-rl-kr360-w2--s250646010,Nzxt,72 tháng,Tản nước AIO,3 x 360 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM4, AMD AM5, Intel LGA 1700, Intel LGA 1851, Intel LGA 1200",RGB,Trắng,401 x 120 x 27 mm,"1,200 – 2,800 ± 300 RPM","500 - 2,400 ± 250 RPM",75.05 CFM,31.9 dBA,2.43 kg,600 mm,Nhôm,,,,,,,
cooler_022,Cooler,Bộ tản nhiệt nước/ Cooler AIO NZXT Kraken Plus 360 RGB V2 Black (RL-KR360-B2),5290000,https://phongvu.vn/bo-tan-nhiet-nuoc-cooler-aio-nzxt-kraken-plus-360-rgb-v2-black-rl-kr360-b2--s250641955,Nzxt,72 tháng,Tản nước,3 x 360 mm,"Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",RGB,Đen,401 x 120 x 27 mm,1.200 – 2.800 ± 300 RPM,500 - 2.400 ± 250 RPM,75.05 CFM,31.9 dBA,,,"Nhôm, Nhựa, Đồng, Cao su",,,,,,,
cooler_023,Cooler,Tản nhiệt nước AIO Deepcool LE360 V2,1890000,https://phongvu.vn/tan-nhiet-nuoc-aio-deepcool-le360-v2--s250508028,DeepCool,24 tháng,Tản nước AIO,3 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1851, Intel LGA 1200, Intel LGA 1700, AMD AM4, AMD AM5",ARGB,Đen,402×120×27 mm,,,,,1632 g,,Nhôm,,,,,,,
cooler_024,Cooler,Tản nhiệt nước AIO Deepcool LE240 V2,1490000,https://phongvu.vn/tan-nhiet-nuoc-aio-deepcool-le240-v2--s250508025,DeepCool,24 tháng,Tản nước AIO,2 x 120 mm,"Intel LGA 1151-v2, Intel LGA 1150, Intel LGA 1155, Intel LGA 1700, Intel LGA 1851, Intel LGA 1200, AMD AM5, AMD AM4",ARGB,Đen,82×120×27 mm(L×W×H),2500~3400 RPM±10%,500~2100 RPM±10%,75.89 CFM,≤31.6 dB(A),1359 g,410 mm,Nhôm,,,,,,,
cooler_025,Cooler,BỘ TẢN NHIỆT KHÍ CPU ID-COOLING FROZN A610 ARGB,890000,https://phongvu.vn/bo-tan-nhiet-khi-cpu-id-cooling-frozn-a610-argb--s250405297,ID-Cooling,36 tháng,Tản khí,1 x 120 mm,"Intel LGA20XX, Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",ARGB,Đen,120 x 94 x 155mm,,500±200 ~ 2000±10% RPM,78CFM,29.9dB(A) Max,1.4kg,,"Đồng, Nhôm",,,,,,,
cooler_026,Cooler,BỘ TẢN NHIỆT KHÍ CPU ID-COOLING FROZN A720 BLACK,1390000,https://phongvu.vn/bo-tan-nhiet-khi-cpu-id-cooling-frozn-a720-black--s250405292,ID-Cooling,36 tháng,Tản khí,2 x 140 mm,"Intel LGA20XX, Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 1151, Intel LGA 1150, Intel LGA 1155, Intel LGA 1156, AMD AM5, AMD AM4",,Đen,140 x 153 x 163mm,,500 ~ 1800±10% RPM,98.6CFM,33.5dB(A) Max,2kg,,"Đồng, Nhôm",,,,,,,
cooler_027,Cooler,BỘ TẢN NHIỆT KHÍ CPU ID-COOLING FROZN A410 GDL (Limited Edition),690000,https://phongvu.vn/bo-tan-nhiet-khi-cpu-id-cooling-frozn-a410-gdl-limited-edition--s250405296,ID-Cooling,36 tháng,Tản khí,2 x 120 mm,"Intel LGA 1851, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",,Đen,120 x 104 x 152mm,,500 ~ 2000±10% RPM,78CFM,29.9dB(A) Max,1.4kg,,Nhôm,,,,,,,
cooler_028,Cooler,Tản nhiệt nước Corsair iCUE LINK TITAN 240 RX RGB Black/ CW-9061016-WW,3990000,https://phongvu.vn/tan-nhiet-nuoc-corsair-icue-link-titan-240-rx-rgb-black-cw-9061016-ww--s250302293,Corsair,72 tháng,Tản khí,2 x 120 mm,"Intel LGA 1851, Intel LGA 1700, AMD AM5, AMD AM4",RGB,Đen,240mm,,300 - 2100 vòng/phút ±10%,10.4 - 73.5 CFM,10 - 36 dB(A),1.35kg,444mm,"Nhôm, Đồng",,,,,,,
cooler_029,Cooler,Tản nhiệt nước MSI MAG CORELIQUID I240 WHITE,2790000,https://phongvu.vn/tan-nhiet-nuoc-msi-mag-coreliquid-i240-white--s241205224,Msi,36 tháng,Tản nước,2 x 120 mm,"Intel LGA 1150, Intel LGA 1151, Intel LGA 1155, Intel LGA 1156, Intel LGA 1200, Intel LGA 1700, AMD AM5, AMD AM4",ARGB,Trắng,277 x 119.2 x 27mm,,,70.7 CFM,20 dBA,,,Nhôm,,,,,,,
cooler_030,Cooler,Tản nhiệt nước MSI MAG CORELIQUID I240,2690000,https://phongvu.vn/tan-nhiet-nuoc-msi-mag-coreliquid-i240--s241205218,Msi,36 tháng,Tản nước,2 x 120 mm,"Intel LGA 1150, Intel LGA 1151, Intel LGA 1155, Intel LGA 1156, Intel LGA 1200, Intel LGA 1700, AMD AM5, AMD AM4",ARGB,Đen,277 x 119.2 x 27mm,,,70.7 CFM,20 dBA,,,Nhôm,,,,,,,
cooler_031,Cooler,BỘ TẢN NHIỆT NƯỚC ID-COOLING FX240 INF ARGB,1390000,https://phongvu.vn/bo-tan-nhiet-nuoc-id-cooling-fx240-inf-argb--s241203148,ID-Cooling,24 tháng,Tản nước,2 x 120 mm,"Intel LGA 1851, Intel LGA 1151-v2, Intel LGA 1700, Intel LGA 1200, Intel LGA 115X, AMD AM5, AMD AM4",ARGB,Đen,276 × 120 × 27mm,2900 vòng/phút ±10%(PWM),300 ～200 0±10%Vòng/Phút,58CFM,27.2dB(A),2.2 kg,,"Nhôm, Đồng",,,,,,,
cooler_032,Cooler,Tản nhiệt nước Corsair NAUTILUS 240 ARGB White/CW-9060094-WW,2090000,https://phongvu.vn/tan-nhiet-nuoc-corsair-nautilus-240-argb-white-cw-9060094-ww--s241201709,Corsair,60 tháng,Tản nước AIO,2 x 240 mm,"Intel LGA 1851, Intel LGA 1700, AMD AM5, AMD AM4",ARGB,Trắng,240mm,,2100 RPM,13.3 - 72.8 CFM,10 - 36dBA,1.9kg,,Nhôm,,,,,,,
cooler_033,Cooler,Bộ 3 Quạt case Corsair RS120 ARGB Triple Pack White (CO-9050185-WW),999000,https://phongvu.vn/bo-3-quat-may-tinh-corsair-rs120-argb-white-co-9050185-ww--s241201701,Corsair,60 tháng,Quạt,3 x 120 mm,,ARGB,Trắng,,,2100 RPM,13.3 - 72.8 CFM,10 - 36 dBA,0.7kg,,,,,,,,,
cooler_034,Cooler,Tản nhiệt nước Corsair NAUTILUS 360 RS ARGB (CW-9060093-WW),2490000,https://phongvu.vn/tan-nhiet-nuoc-corsair-nautilus-360-argb-cw-9060093-ww--s241201705,Corsair,60 tháng,Tản nước AIO,3 x 360 mm,"Intel LGA 1851, Intel LGA 1700, AMD AM5, AMD AM4",ARGB,Đen,360mm,,2100 RPM,13.3 - 72.8 CFM,10 - 36dBA,2.35kg,,Nhôm,,,,,,,
cooler_035,Cooler,Bộ 3 quạt máy tính Corsair RS120 ARGB Black,990000,https://phongvu.vn/bo-3-quat-may-tinh-corsair-rs120-argb-black-co-9050181-ww--s241004272,Corsair,60 tháng,Quạt,3 x 120 mm,,ARGB,Đen,,,420 – 2100 RPM ±10%,13.3 - 72.8 CFM,10 - 36 dBA,239 g,,,,,,,,,
