ID,category,name,price,link,brand,warranty,series,use_case,chipset,socket,Kích thước,max_ram_slots,supported_ddr,Hỗ trợ bộ nhớ tối đa,ram_speed,Lưu trữ,m2_slots,Cổng xuất hình,pci_slots,Số cổng USB,lan,Kết nối không dây,audio,led,multi_gpu,mb_tier
mainboard_001,Mainboard,Mainboard Msi PRO Z890-S WIFI 6E,6290000,https://phongvu.vn/mainboard-msi-pro-z890-s-wifi-6e-ddr5--s260402024,Msi,36 tháng,PRO,Gaming,Z890,LGA1851,ATX,4 khe,DDR5,256GB,"8800(OC), 6400(OC), 6400(JEDEC), 4800(JEDEC)","4 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x DisplayPort",4 x PCI-E x16 slot,- 1 x USB Type C (tối đa 2) - - USB 2.0 (tối đa 4) - - 6 x USB 3.2 (tối đa 8),1 x LAN 2.5Gb/s,"Wi-Fi 6E (802.11ax), Bluetooth 5.3",Realtek® ALC897 Codec 7.1-Channel High Definition Audio,,,high
mainboard_002,Mainboard,Mainboard Asus PRIME B550M-A WIFI II-CSM,2690000,https://phongvu.vn/bo-mach-chu-mainboard-asus-prime-b550m-a-wifi-ii-csm-ddr4-am4--s260305630,Asus,36 tháng,Prime,Gaming,B550,AM4,Micro-ATX,4 khe,DDR4,128GB,"4866(OC), 4800(OC), 4600(OC), 4466(OC), 4400(OC), 4333(OC), 4266(OC), 4200(OC), 4133(OC), 4000(OC)","4 x M.2 NVMe, 3 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DVI-D, 1 x VGA/D-sub",1 x PCIe 4.0 x16; 1 x PCIe 3.0 x16; 2 x PCIe 3.0 x1,6 x USB 3.2 (Tối đa 8) USB 2.0(Tối đa 4),1 x LAN 1 Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.2",Realtek 7.1 Surround Sound High Definition Audio CODEC,,,mid
mainboard_003,Mainboard,Mainboard Msi A520M-A PRO DDR4,1490000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-a520m-a-pro-ddr4--s260105686,Msi,36 tháng,,"Văn phòng, Gaming",A520,AM4,Micro-ATX,2 khe,DDR4,32GB,"1866MHz, 2133MHz, 2400MHz, 2667MHz, 2800MHz, 2933MHz, 3000MHz, 3066MHz, 3200MHz, 3466MHz","4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x DVI-D",1x PCIe 3.0 x16; 1x PCIe 3.0 x1,4 x USB 3.2 (tối đa 6); 2 x USB 2.0(tối đa 6),1 x LAN 1 Gb/s,,Realtek® ALC892/ALC897 Codec,,,budget
mainboard_004,Mainboard,Mainboard Msi PRO X870E-P WIFI DDR5,6690000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-x870e-p-wifi-ddr5--s251209501,Msi,36 tháng,PRO,Gaming,X870E,AM5,ATX,4 khe,DDR5,256GB,"8200(O.C.), 5600(OC)","4 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 NVMe,"1 x HDMI, 1 x USB Type-C",3x PCI-E x16; 1x PCI-E x1,- 4 x USB 2.0 (Tối đa 10) - - 4 x USB 3.2 (Tối đa 8) - - 2 x USB Type C (Tối đa 3),1 x LAN 5Gb/s,"Wi-Fi 7 (802.11be), Bluetooth 5.4",Realtek® ALC897 7.1-Channel High Definition Audio,,,high
mainboard_005,Mainboard,Mainboard Msi PRO B840M-P WIFI6E,3490000,https://phongvu.vn/bo-mach-chinh-mainboard-msi-pro-b840m-p-wifi6e-ddr5--s251019397,Msi,36 tháng,PRO,Gaming,B840,AM5,Micro-ATX,4 khe,DDR5,256GB,"8000(O.C), 5600(O.C.), 5600(JEDEC), 4800(JEDEC)","4 x SATA 3 6Gb/s, 2 x M.2 NVMe",M.2 SATA/NVMe,1 x HDMI,1 x PCI-E x16; 1x PCI-E x1,- 1 x USB Type C (Tối đa 2) - - 2 x USB 3.2 (Tối đa 5) - - 4 x USB 2.0 (Tối đa 8),1 x LAN 2.5Gb/s,Wi-Fi 6E (802.11ax),Realtek® ALC897 -  7.1-Channel High Definition Audio,RGB,,mid
mainboard_006,Mainboard,Mainboard Asus H610M-K,1890000,https://phongvu.vn/bo-mach-chinh-mainboard-asus-prime-h610m-k-ddr5--s250909710,Asus,36 tháng,Prime,"Gaming, Văn phòng",H610,LGA1700,Micro-ATX,2 khe,DDR5,96GB,"5600MHz, 5400MHz, 5200MHz, 5000MHz, 4800MHz",4 x SATA 3 6Gb/s,M.2 NVMe,"1 x HDMI, 1 x VGA/D-sub",1 x PCIe 4.0 x16; 1 x PCIe 3.0 x1,- 2 x USB 3.2(Tối đa 3) - - 4 x USB 2.0(Tối đa 5),1 x LAN 1 Gb/s,,Realtek 7.1 Surround Sound High Definition Audio CODEC,,,budget
mainboard_007,Mainboard,Mainboard Asus B840M MAX GAMING AX-CSM DDR5,3590000,https://phongvu.vn/bo-mach-chu-mainboard-asus-b840m-max-gaming-ax-csm-ddr5--s250809210,Asus,36 tháng,,Gaming,B840,AM5,Micro-ATX,4 khe,DDR5,256GB,7600(O.C.),"3 x M.2 NVMe, 4 x SATA 3 6Gb/s",M.2 NVMe,1 x DisplayPort,2 x PCIe 4.0 x16; 3 x PCIe 3.0 x16,1 x USB Type-C (Tối đa 2) - 2 x USB 3.2 (Tối đa 3) - 2 x USB 2.0 (Tối đa 10),1 x LAN 2.5Gb/s,"WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.3",Realtek 7.1 Surround Sound High Definition Audio CODEC,,,mid
mainboard_008,Mainboard,Mainboard Msi PRO H610M-E DDR5,1890000,https://phongvu.vn/bo-mach-chu-mainboard-msi-pro-h610m-e-ddr5--s250800170,Msi,36 tháng,PRO,"Gaming, Văn phòng",H610,LGA1700,Micro-ATX,2 khe,DDR5,96GB,5600(JEDEC),"4 x SATA 3 6Gb/s, 1 x M.2 SATA/NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x VGA/D-sub",1x PCI-E x16 - 1x PCI-E x1,4 x USB 2.0 (Tối đa 8) - 2 x USB 3.2 (Tối đa 4),1 x LAN 1 Gb/s,,Realtek® ALC897 Codec - 7.1-Channel High Definition Audio,,,budget
mainboard_009,Mainboard,Mainboard Asus PRIME B760M-F WIFI DDR5,2890000,https://phongvu.vn/bo-mach-chu-mainboard-asus-prime-b760m-f-wifi-90mb1n00-m0uay0--s250800163,Asus,36 tháng,Prime,Gaming,B760,LGA1700,Micro-ATX,2 khe,DDR5,96GB,"8000(OC), 7800(OC), 7600(OC), 7400(OC), 7200(OC), 7000(OC), 6800(OC), 6600(OC), 6400(OC), 6000(OC)",4 x SATA 3 6Gb/s,M.2 NVMe,"1 x HDMI, 1 x DisplayPort",1 x PCIe 5.0 x16; 1 x PCIe 4.0 x1,4 x USB 3.2(Tối đa 5) - 2 x USB 2.0(Tối đa 3),1 x LAN 1 Gb/s,"Bluetooth 5.3, WiFi 802.11 a/b/g/n/ac/ax",Realtek 7.1 Surround Sound High Definition Audio CODEC,,,mid
mainboard_010,Mainboard,Mainboard Msi X870E GAMING PLUS WF,7690000,https://phongvu.vn/bo-mach-chu-mainboard-msi-mag-x870e-gaming-plus-wf--s250717333,Msi,36 tháng,MAG,Gaming,X870E,AM5,ATX,4 khe,DDR5,256GB,"8200(O.C.), 5600(O.C.), 4800(JEDEC), 5600(JEDEC)","4 x SATA 3 6Gb/s, 3 x M.2 NVMe",M.2 SATA/NVMe,"1 x HDMI, 1 x USB Type-C",3x PCI-E x16; 1x PCI-E x1,- 1 x USB Type C (Tối đa 3) - 4 x USB 3.2 (Tối đa 8) - 4 x USB 2.0 (Tối đa 10),1 x LAN 5Gb/s,"Bluetooth 5.4, Wi-Fi 7 (802.11be)",Realtek® ALC897 7.1-Channel High Definition Audio,RGB,,high
