ID,category,name,price,link,brand,warranty,model_name,part_number,series,color,Công suất tối đa,Hiệu suất,modular,form_factor,Số cổng cắm,Quạt làm mát,Nguồn đầu vào,Khối lượng,Kích thước,pfc,protection_cert,Nhiệt độ môi trường hoạt động lý tưởng của nguồn,power_factor,tier,warranty_period,sku,status,features,availability,led,warranty_desc,wattage_w,psu_tier
psu_001,PSU,Nguồn máy tính Corsair HX1500i - 1500W - Cybenetics Platinum - Full Modular (CP-9020269-NA),8990000,https://phongvu.vn/nguon-may-tinh-corsair-hx1500i-shift-platinum-full-modular-cp-9020269-na--s260302529,Corsair,120 tháng,HX1500i,CP-9020269-NA,HXI SHIFT Series,Đen,1500W,Cybenetics Platinum,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 12 x SATA, 6 x 8-pin (6+2) PCIE, 8 x PATA",1 x 140 mm,100 - 240VAC,4.348kg,20 x 15 x 8.6cm,,,,,,,,,,,,,1500.0,extreme
psu_002,PSU,Nguồn máy tính Corsair RM1000x - 1000W - Cybenetics Gold - Full Modular (CP-9020275-NA),4990000,https://phongvu.vn/nguon-may-tinh-corsair-rm1000x-shift-80-plus-gold-white-full-modular-cp-9020275-na--s260302503,Corsair,120 tháng,RM1000x,CP-9020275-NA,RMx SHIFT Series,Trắng,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 16 x SATA, 4 x 8-pin (6+2) PCIE, 8 x PATA",1 x 140 mm,100 - 240VAC,3.9kg,,,,,,,,,,,,,,1000.0,high
psu_003,PSU,Nguồn máy tính Corsair RM850e - 850W - Cybenetics Gold - Full Modular (CP-9020293-NA),3590000,https://phongvu.vn/nguon-may-tinh-psu-corsair-rm850e-white-atx-3-1-full-modular-cp-9020293-na--s260302480,Corsair,84 tháng,RM850e,CP-9020293-NA,RMe Series,Trắng,850W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 16-pin (12+4) PCIE, 2 x 8-pin (4+4) EPS, 6 x SATA, 3 x 8-pin (6+2) PCIE, 2 x PATA",1 x 120 mm,100 - 240VAC,2.93kg,14 x 15 x 8.6 cm,,,,,,,,,,,,,850.0,high
psu_004,PSU,Nguồn máy tính Msi MAG A750BN PCIE5 III - 750W - 80 Plus Bronze,1590000,https://phongvu.vn/nguon-may-tinh-msi-a750bn-pcie5-iii-750w-80-plus-non-modular-306-7zptx25-hd8--s251111600,Msi,36 tháng,MAG A750BN PCIE5 III,306-7ZPTX25-HD8,MAG,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 16-pin PCIE, 3 x 8-pin (6+2) PCIE, 3 x SATA, 2 x Peripheral (4-pin)",1 x 120 mm,100 - 240VAC,2.5kg,140 x 150 x 86 mm,Active,"OVP, OCP, SCP, OPP, UVP",,,,,,,,,,,750.0,mid
psu_005,PSU,Nguồn máy tính Cooler Master CoolerMaster V Platinum 1600 V2 - 1600W - 80 Plus Platinum - Full Modular (MPZ-G002-AFAP-BEU),7590000,https://phongvu.vn/nguon-may-tinh-coolermaster-v-platinum-1600-v2-a-eu-cord--s250637345,Cooler Master,144 tháng,CoolerMaster V Platinum 1600 V2,MPZ-G002-AFAP-BEU,,Đen,1600W,80 Plus Platinum,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 1x 8-pin EPS, 16 x SATA, 4 x Peripheral (4-pin), 5 x 8-pin (6+2) PCIE, 2 x 12V-2x6 Connectors",1 x 135 mm,100 - 240VAC,3.55kg,160 x 150 x 86 mm,,"OPP, OVP, OTP, OCP, SCP, UVP",50 độ C,,,,,,,,,,1600.0,extreme
psu_006,PSU,Nguồn máy tính Cooler Master MWE Gold 850 V3 ATX 3.1 - 850W - 80 Plus Gold - Full Modular (MPX-8503-AFAG-2***),2690000,https://phongvu.vn/nguon-may-tinh-cooler-master-mwe-gold-850-v3-atx-3-1--s250504322,Cooler Master,120 tháng,MWE Gold 850 V3 ATX 3.1,MPX-8503-AFAG-2***,MWE Gold,Đen,850W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 1x 8-pin EPS, 6 x SATA, 2 x Peripheral (4-pin), 4 x 8-pin (6+2) PCIE",1 x 120 mm,100 - 240VAC,2.614 kg,160 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, OCP, UVP",40 độ C,,,,,,,,,,850.0,high
psu_007,PSU,Nguồn máy tính Corsair RM1000e - 1000W - Cybenetics Gold - Full Modular,4390000,https://phongvu.vn/nguon-may-tinh-corsair-rm1000e-atx-3-1-cybenetics-gold-full-modul--s250309516,Corsair,84 tháng,RM1000e,,RMe Series,Đen,1000W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 8-pin (6+2) PCIE, 2 x PATA, 6 x SATA, 1 x 16-pin (12+4) PCIE",1 x 120 mm,100 - 240VAC,3.23 kg,14 x 150 x 8.6 cm,,,,,,,,,,,,,1000.0,high
psu_008,PSU,Nguồn máy tính Corsair RM850ep - 850W - Cybenetics Gold - Full Modular (CP-9020296-NA),2890000,https://phongvu.vn/nguon-may-tinh-corsair-rm850e-atx-3-1-cybenetics-gold-full-modul-cp-9020296-na--s250309302,Corsair,84 tháng,RM850ep,CP-9020296-NA,RMe Series,Đen,850W,Cybenetics Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 2 x PATA, 6 x SATA, 1 x 16-pin (12+4) PCIE, 3 x 8-pin (6+2) PCIE",1 x 120 mm,100 - 240VAC,2.93g,14 x 15 x 8.6 cm,,,,,,,,,,,,,850.0,high
psu_009,PSU,Nguồn máy tính Msi MAG A650BNL - 650W - 80 Plus Bronze,1390000,https://phongvu.vn/nguon-may-tinh-msi-mag-a650bnl--s250301349,Msi,36 tháng,MAG A650BNL,,MAG,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 2 x 8-pin (6+2) PCIE, 5 x SATA, 2 x Peripheral (4-pin), 1 x FDD (4-pin)",1 x 120 mm,110 - 240VAC,,150 x 140 x 86mm,Active,"OCP, OVP, OPP, SCP",,,,,,,,,,,650.0,mid
psu_010,PSU,Nguồn máy tính Msi MAG A1250GL PCIE5 - 1250W - 80 Plus Gold - Full Modular,5790000,https://phongvu.vn/nguon-may-tinh-msi-mag-a1250gl-pcie5--s250116590,Msi,60 tháng,MAG A1250GL PCIE5,,MAG,Đen,1250W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 1 x 16-pin PCIE 5.0, 4 x 8-pin (6+2) PCIE, 12 x SATA, 1 x FDD (4-pin)",1 x 135 mm,100 - 240VAC,169g,150 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,1250.0,extreme
psu_011,PSU,Nguồn máy tính Gigabyte GP-P650SS - 650W - 80 Plus Silver,1249000,https://phongvu.vn/nguon-may-tinh-gigabyte-gp-p650ss-650w--s240705164,Gigabyte,36 tháng,GP-P650SS,,,Đen,650W,80 Plus Silver,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 3 x Peripheral (4-pin), 5 x SATA, 2 x 8-pin (6+2) PCIE",1 x 120 mm,155 - 240VAC,1.5 kg,150 x 140 x 86 mm,Active,"OVP, OPP, SCP, UVP, OCP, OTP",,0.9,,,,,,,,,650.0,mid
psu_012,PSU,Nguồn máy tính Corsair CX750 - 750W - 80 Plus Bronze,1690000,https://phongvu.vn/nguon-may-tinh-corsair-cx750-cp-9020279-na--s240100191,Corsair,60 tháng,CX750,CP-9020279-NA,CX,Đen,750W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 8-pin (4+4) EPS, 1 x 24-pin Main, 3 x 8-pin (6+2) PCIE, 3 x SATA, 2 x PATA",1 x 120 mm,100 - 240VAC,2.335 kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,750.0,mid
psu_013,PSU,Nguồn máy tính Corsair CX650 - 650W - 80 Plus Bronze,1450000,https://phongvu.vn/nguon-may-tinh-corsair-cx650-cp-9020278-na--s240100190,Corsair,60 tháng,CX650,CP-9020278-NA,CX,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"3 x SATA, 1 x 24-pin Main, 2 x 8-pin (6+2) PCIE, 1 x 8-pin (4+4) EPS, 2 x PATA",1 x 120 mm,100 - 240VAC,2.32 kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,650.0,mid
psu_014,PSU,Nguồn máy tính Corsair CX550 - 550W - 80 Plus Bronze,1190000,https://phongvu.vn/nguon-may-tinh-corsair-cx550-cp-9020277-na--s240100189,Corsair,60 tháng,CX550,CP-9020277-NA,CX,Đen,550W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 1 x 8-pin (4+4) EPS, 2 x 8-pin (6+2) PCIE, 3 x SATA, 2 x PATA",1 x 120 mm,100 - 240VAC,2.28kg,15 x 12.5 x 8.6 cm,,,,,,,,,,,,,550.0,budget
psu_015,PSU,Nguồn máy tính MIK C650B - 650W - 80 Plus Bronze,950000,https://phongvu.vn/nguon-may-tinh-mik-c650b-sp006078--s230904117,MIK,36 tháng,C650B,SP006078,,Đen,650W,80 Plus Bronze,không hỗ trợ,ATX,"1 x 24-pin Main, 2 x 8-pin (6+2) PCIE, 2 x 8-pin (4+4) CPU, 4 x SATA, 2 x ATA",1 x 120 mm,200 - 240VAC,1.7 kg,15 x 14 x 8.6 cm,Active,"OCP, OVP, SCP",40 độ C,,,,,,,,,,650.0,mid
psu_016,PSU,"PSU MSI MAG A850GL PCIE5 80 PLUS Gold, Full Modular (306-7ZP8A11-CE0)",2790000,https://phongvu.vn/nguon-may-tinh-msi-mag-a850gl-pcie5-80-plus-gold-full-modular-306-7zp8a11-ce0--s230802065,Msi,60 tháng,MAG A850GL,306-7ZP8A11-CE0,MAG,Đen,850W,80 Plus Gold,Full Modular,ATX,"2 x 8-pin (4+4) EPS, 8 x SATA, 1 x FDD (4-pin), 4 x 8-pin (6+2) PCIE, 1 x 24-pin Main, 1 x 16-pin PCIE 5.0",1 x 120 mm,100 - 240VAC,,140 x 150 x 86 mm,Active,"OPP, OVP, SCP, OTP, UVP, OCP",,,,,,,,,,,,unknown
psu_017,PSU,Nguồn máy tính Msi MPG A1000G PCIE5 - 1000W - 80 Plus Gold - Full Modular,4599000,https://phongvu.vn/nguon-may-tinh-msi-mpg-a1000g-pcie5-80-plus-gold-full-modullar--s230302478,Msi,120 tháng,MPG A1000G PCIE5,,,Đen,1000W,80 Plus Gold,Full Modular,ATX,"1 x 24-pin Main, 2 x 8-pin (4+4) EPS, 6 x 8-pin (6+2) PCIE, 12 x SATA, 1 x FDD (4-pin)",1 x 135 mm,100 - 240VAC,1.3kg,150 x 150 x 86 mm,Active,"OCP, OVP, OPP, OTP, UVP, SCP",,,,,,,,,,,1000.0,high
