ID,category,name,price,link,brand,warranty,type,part_number,color,led,use_case,Dung lượng,Thế hệ,speed,timing,voltage,Mô tả bảo hành,ecc,capacity_gb,speed_mhz
ram_001,RAM,RAM laptop Kingston (1 x 8GB) DDR4 3200MHz (KVR32S22S8/8WP),2990000,https://phongvu.vn/bo-nho-trong-ram-laptop-ddr4-kingston-8gb-3200-sodimm-kvr32s22s8-8wp--s260302458,Kingston,36 tháng,DDR4,KVR32S22S8/8WP,Xanh,Không LED,Văn phòng,1 x 8GB,DDR4,3200MHz,22.0,1.2V,,,8,3200.0
ram_002,RAM,RAM desktop Kingston FURY Beast RGB EXPO 32GB (1 x 32GB) DDR5 6000MHz (KF560C36BBE2A-32),14990000,https://phongvu.vn/bo-nho-trong-ram-desktop-kingston-fury-beast-rgb-expo-32gb-1x32gb-ddr5-6000-black-kf560c36bbe2a-32--s260302064,Kingston,36 tháng,DDR5,KF560C36BBE2A-32,Đen,RGB,Gaming,1 x 32GB,DDR5,6000MHz,40.0,1.1V,,,32,6000.0
ram_003,RAM,RAM laptop Transcend (1 x 16GB) DDR5 4800MHz (JM4800ASE-16G),6590000,https://phongvu.vn/bo-nho-trong-ram-laptop-transcend-16gb-jm-ddr5-4800-so-dimm-1rx8-2gx8-cl40-1-1v-jm4800ase-16g--s251200624,Transcend,60 tháng,DDR5,JM4800ASE-16G,Xanh,Không LED,"Văn phòng, Học sinh - Sinh viên",1 x 16GB,DDR5,4800MHz,40.0,1.1V,,,16,4800.0
ram_004,RAM,RAM desktop Kingston (1 x 16GB) DDR4 3200MHz (KVR32N22D8/16WP),4490000,https://phongvu.vn/bo-nho-trong-ram-desktop-kingston-ddr4-16g-3200mhz-u22-2rx16-udimm-kvr32n22d8-16wp--s251113487,Kingston,36 tháng,DDR4,KVR32N22D8/16WP,Xanh,Không LED,"Văn phòng, Gaming",1 x 16GB,DDR4,3200MHz,22.0,1.2V,,,16,3200.0
ram_005,RAM,RAM desktop Kingston (1 x 8GB) DDR4 3200MHz (KVR32N22S8/8WP),2390000,https://phongvu.vn/bo-nho-trong-ram-desktop-kingston-ddr4-8g-3200mhz-u22-1rx8-udimm-kvr32n22s8-8wp--s251113480,Kingston,36 tháng,DDR4,KVR32N22S8/8WP,Xanh,Không LED,"Văn phòng, Gaming",1 x 8GB,DDR4,3200MHz,22.0,1.2V,,,8,3200.0
ram_006,RAM,RAM desktop Patriot VIPER ELITE 5 RGB (1 x 16GB) DDR5 6000MHz (PVER516G60C30W),6790000,https://phongvu.vn/bo-nho-trong-ram-patriot-viper-venom-ddr5-6000mt-s-rgb-16gb-1x16gb-cl30-pvvr516g60c30--s251111503,Patriot,60 tháng,DDR5,PVER516G60C30W,Trắng,,"Gaming, Văn phòng",1 x 16GB,DDR5,6000MHz,30.0,1.35V,,,16,6000.0
ram_007,RAM,Patriot (1 x 16GB) DDR4 3200MHz (PSP416G3200H1),4390000,https://phongvu.vn/bo-nho-trong-ram-patriot-ddr4-16gb-3200mt-s-cl22-1-2v-udimm-psp416g3200h1--s251111506,Patriot,60 tháng,DDR4,PSP416G3200H1,Đen,Không LED,Văn phòng,1 x 16GB,DDR4,3200MHz,22.0,1.2V,,,16,3200.0
ram_008,RAM,RAM laptop Kingston (1 x 16GB) DDR4 3200MHz (KVR32S22D8/16WP),4590000,https://phongvu.vn/bo-nho-laptop-ddr4-kingston-16gb-3200mhz-non-ecc-cl22-sodimm-2rx8-kvr32s22d8-16wp--s251105484,Kingston,36 tháng,DDR4,KVR32S22D8/16WP,Xanh,Không LED,Văn phòng,1 x 16GB,DDR4,3200MHz,,1.2V,,,16,3200.0
ram_009,RAM,RAM desktop Kingston FURY Beast (1 x 8GB) DDR4 3200MHz (KF432C16BB/8WP),2490000,https://phongvu.vn/bo-nho-ram-desktop-kingston-fury-beast-8gb-ddr4-3200mhz-kf432c16bb-8wp--s251102053,Kingston,36 tháng,DDR4,KF432C16BB/8WP,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 8GB,DDR4,3200MHz,16.0,1.2V,,,8,3200.0
ram_010,RAM,RAM desktop Kingston FURY Beast (1 x 16GB) DDR4 3200MHz (KF432C16BB1/16WP),4890000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-d4-3200u-c16-beast-black-kf432c16bb1-16wp--s251012469,Kingston,36 tháng,DDR4,KF432C16BB1/16WP,Đen,Không LED,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,16.0,1.2V,,,16,3200.0
ram_011,RAM,RAM desktop TeamGroup Delta RGB (1 x 16GB) DDR5 6000MHz (FF3D516G6000HC38J01),6890000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-delta-black-rgb-16gb-ddr5-6000-cl38-46-ff3d516g6000hc38j01--s251010655,TeamGroup,60 tháng,DDR5,FF3D516G6000HC38J01,Đen,RGB,Gaming,1 x 16GB,DDR5,6000MHz,38.0,1.35V,,,16,6000.0
ram_012,RAM,RAM desktop Corsair Vengeance RGB (2 x 32GB) DDR5 6000MHz (CMH64GX5M2D6000C40),29990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mhz-64gb-2x32gb-dimm-vengeance-rgb-ddr5-black-heatspreader-rgb-led-1-35v-cmh64gx5m2d6000c40--s251001961,Corsair,36 tháng,DDR5,CMH64GX5M2D6000C40,Đen,RGB,"Gaming, Văn phòng",2 x 32GB,DDR5,6000MHz,40.0,1.35V,,,64,6000.0
