ID,category,name,price,link,brand,warranty,type,Màu sắc của ổ cứng,Dung lượng,Kết nối,Tốc độ đọc,Hỗ trợ hệ điều hành,Kích thước,Tốc độ vòng quay,Tốc độ ghi,Bộ nhớ NAND,cache,warranty_desc
storage_001,Storage,"Ổ cứng di động HDD WD Black P10 Game Drive 5TB 130MB/s, USB 3.2, Camo (WDBZ7D0050BGN-WESN)",7890000,https://phongvu.vn/o-cung-di-dong-hdd-wd-black-p10-game-drive-5tb-130mb-s-usb-3-2-camo-wdbz7d0050bgn-wesn--s260400578,WD,36 tháng,HDD,Camo,5TB,USB 3.2,130MB/s,"Windows 10+, macOS 11+, PS5, PS4, Xbox",,,,,,
storage_002,Storage,"Ổ cứng di động SSD SanDisk FIFA World Cup 2026 Edition 1TB, 800MB/s, USB 3.2 gen 2 (SDSSDE30F-1T00-G25)",6890000,https://phongvu.vn/o-cung-gan-ngoai-sandisk-external-ssd-fifa-usb-1tb-external-drives-3y-sdssde30f-1t00-g25--s260303853,Sandisk,36 tháng,SSD,Xám,1TB,USB 3.2,800MB/s,"Windows 10+, macOS 10.13+",,,,,,
storage_003,Storage,"Ổ cứng di động HDD WD My Book Desktop Storage 3.5"" 26TB, USB-A, Đen (WDBBGB0260HBK-SESN)",31990000,https://phongvu.vn/o-cung-di-dong-hdd-wd-my-book-desktop-storage-3-5-26tb-usb-a-den-wdbbgb0260hbk-sesn--s260301678,WD,36 tháng,HDD,Đen,26TB,USB 3.2,,"Windows 10+, macOS 11+","3.5""",,,,,
storage_004,Storage,"Ổ cứng di động HDD WD Elements 3.5"" 26TB, USB-A, Đen (WDBBKG0260HBK-SESN)",28990000,https://phongvu.vn/o-cung-di-dong-hdd-wd-elements-3-5-26tb-usb-a-den-wdbbkg0260hbk-sesn--s260301643,WD,24 tháng,HDD,Đen,26TB,USB 3.2,,"Windows 10+, macOS","3.5""",,,,,
storage_005,Storage,Ổ cứng gắn trong/ HDD WD Ultrastar DC HA340 8TB 3.5″ SATA WUS721208BLE6L4,9990000,https://phongvu.vn/o-cung-gan-trong-hdd-wd-ultrastar-dc-ha340-8tb-3-5-sata-wus721208ble6l4--s260106644,WD,60 tháng,HDD,Đen,8TB,SATA,,,"3.5""",7200RPM,,,,
storage_006,Storage,Ổ cứng gắn trong/ SSD KIOXIA EXCERIA BASIC 1TB Gen4x4 R7200 W6500 NVMe LSF10Z001TG8,5790000,https://phongvu.vn/o-cung-gan-trong-ssd-kioxia-exceria-basic-1tb-gen4x4-r7200-w6500-nvme-lsf10z001tg8--s260102156,Kioxia,60 tháng,SSD,Xanh,1TB,M.2 NVMe,7200MB/s,,M.2 2280,,6600MB/s,,,
storage_007,Storage,Ổ cứng gắn trong/ SSD PATRIOT P320 512GB NVMe M.2 PCIe P320P512GM28,2790000,https://phongvu.vn/o-cung-gan-trong-ssd-patriot-p320-512gb-nvme-m-2-pcie-p320p512gm28--s260102057,Patriot,60 tháng,SSD,Đen,512GB,M.2 NVMe,3000MB/s,"Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11",M.2 2280,,2200MB/s,,,
storage_008,Storage,Ổ cứng gắn trong/ PATRIOT SSD P400 1TB V4 M.2 2280 PCIe Gen4 x4 P400VP1TBM28H,5690000,https://phongvu.vn/o-cung-gan-trong-patriot-ssd-p400-1tb-v4-m-2-2280-pcie-gen4-x4-p400vp1tbm28h--s251111509,Patriot,60 tháng,SSD,Đen,1TB,PCIe,6200MB/s,"Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11",M.2 2280,,5200MB/s,,,
storage_009,Storage,Ổ cứng gắn trong/ SSD PATRIOT P210 512GB 2.5'' SATA3 P210S512G25,2550000,https://phongvu.vn/o-cung-gan-trong-ssd-patriot-p210-512gb-2-5-sata3-p210s512g25--s251111510,Patriot,36 tháng,SSD,Đen,512GB,SATA 3,550MB/s,,"2.5""",,500MB/s,,,
storage_010,Storage,Ổ cứng gắn trong/ PATRIOT SSD P300 512GB NVMe M.2 PCIe P300P512GM28,2790000,https://phongvu.vn/o-cung-gan-trong-patriot-ssd-p300-512gb-nvme-m-2-pcie-p300p512gm28--s251111511,Patriot,60 tháng,SSD,Đen,512GB,M.2 NVMe,1700MB/s,"Windows 7, Windows 8, Windows 8.1, Windows 10",M.2,,1200MB/s,,,
