ID,category,name,price,link,brand,warranty,chipset_brand,series,Tên,Part-number,chipset,vram,Series,GPU clock,pci_interface,Số lượng đơn vị xử lý,Cổng kết nối,Tản nhiệt,Đầu cấp nguồn,tdp,VR,Kích thước,Đèn LED,Multi-GPU,Mô tả bảo hành,vram_gb,tdp_w,gpu_tier
vga_001,VGA,Card màn hình Msi GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS 8GB GDDR7 (G506T-8S2CP),14590000,https://phongvu.vn/card-man-hinh-vga-msi-geforce-rtxtm-5060-ti-8g-shadow-2x-oc-plus-gddr7--s260303261,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5060 Ti 8G SHADOW 2X OC PLUS,G506T-8S2CP,GeForce RTX 5060Ti,8GB  GDDR7 ( 28 Gbps / 128-bit ),SHADOW,Extreme Performance: 2617 MHz (MSI Center) Boost: 2602 MHz,PCI-E 5.0 x16,4608  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,600W,không hỗ trợ,226 x 126 x 41 mm,,,,8.0,600.0,mid-high
vga_002,VGA,Card màn hình Inno3d GeForce RTX 3050 6GB Twin X2 V2 6GB GDDR6,6090000,https://phongvu.vn/vga-inno3d-rtx-3050-6gb-twin-x2-v2--s260202508,Inno3d,36 tháng,NVIDIA,GeForce RTX 30 series,GeForce RTX 3050 6GB Twin X2 V2,,GeForce RTX 3050,6GB  GDDR6 ( 14Gbps / 96-bit ),,Boost Clock (MHz): 1470 -  Base Clock (MHz): 1042,PCI-E 4.0 x16,2304  CUDA cores,"1 x HDMI 2.1 , 1 x DisplayPort 1.4 , 1 x DVI-D",Tản nhiệt 2 quạt,,450W,không hỗ trợ,222 x 120 x 4 mm,,,,6.0,450.0,mid
vga_003,VGA,Card màn hình Palit RTX 5060 Ti INFINITY 3 16GB GDDR6,18690000,https://phongvu.vn/vga-palit-rtx-5060-ti-infinity-3-ne7506t019t1-gb2061s--s260108860,Palit,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5060 Ti INFINITY 3,,GeForce RTX 5060Ti,16GB  GDDR6 ( 28 Gbps / 128-bit ),,- Graphics Clock: 2407 MHz - Boost Clock: 2572 MHz,PCI-E 5.0,4608  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,600W,,291.9 x 116.6 x 41.3 mm,Không,,,16.0,600.0,mid-high
vga_004,VGA,Card màn hình PNY GeForce RTX 4060 Ti VERTO Dual Fan 16GB GDDR6 (VCG4060T16DFXPB1),12990000,https://phongvu.vn/card-man-hinh-vga-pny-geforce-rtx-4060-ti-16gb-verto-dual-fan-vcg4060t16dfxpb1--s260102155,PNY,36 tháng,NVIDIA,GeForce RTX 40 series,GeForce RTX 4060 Ti VERTO Dual Fan,VCG4060T16DFXPB1,GeForce RTX 4060Ti,16GB  GDDR6 ( 18Gbps / 128-bit ),,"Boost Speed:  2535 MHz, Clock Speed: 2310 MHz",PCI-E 4.0 x16,4352  CUDA cores,"1 x HDMI 2.1 , 3 x DisplayPort 1.4a",Tản nhiệt 2 quạt,1 x 8-pin,550W,,9.65 x 4.43 x 1.57 cm,,,,16.0,550.0,mid-high
vga_005,VGA,Card màn hình PNY GeForce RTX 4070 SUPER VERTO Overclocked Dual Fan 12GB GDDR6X (VCG4070S12DFXPB1-O),16290000,https://phongvu.vn/card-man-hinh-vga-pny-geforce-rtx-4070-super-12gb-verto-overclocked-dual-fan-vcg4070s12dfxpb1-o--s260102158,PNY,36 tháng,NVIDIA,GeForce RTX 40 series,GeForce RTX 4070 SUPER VERTO Overclocked Dual Fan,VCG4070S12DFXPB1-O,GeForce RTX 4070 Super,12GB  GDDR6X ( 21Gbps / 192-bit ),,"Boost Speed: 2490 MHz, Clock Speed: 1980 MHz",PCI-E 4.0 x16,7168  CUDA cores,"1 x HDMI 2.1 , 3 x DisplayPort 1.4a",Tản nhiệt 2 quạt,1 x 16-pin,700W,,9.74 x 4.74 x 1.61 cm,,,,12.0,700.0,mid-high
vga_006,VGA,Card màn hình Inno3d GEFORCE RTX 5060 TWIN X2 8GB 8GB GDDR7 (N50602-08D7-195071N),10290000,https://phongvu.vn/vga-inno3d-rtx-5060-twin-x2-8gb--s260100504,Inno3d,36 tháng,NVIDIA,GeForce RTX 50 series,GEFORCE RTX 5060 TWIN X2 8GB,N50602-08D7-195071N,GeForce RTX 5060,8GB  GDDR7 ( 28Gbps / 128-bit ),,Boost Clock (MHz) 2497MHz Base Clock (MHz) 2280MHzV,PCI-E 5.0,3840  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 8-pin,550W,không hỗ trợ,225 x 116 x 41 mm,,"NVIDIA ShadowPlay, NVIDIA Highlights, NVIDIA G-SYNC, NVIDIA Studio Drivers, NVIDIA GPU Boost",,8.0,550.0,mid
vga_007,VGA,Card màn hình Colorful GeForce RTX 5060 Gaming DUO 8GB-V (8GB GDDR7),9590000,https://phongvu.vn/card-man-hinh-colorful-geforce-rtx-5060-gaming-duo-8gb-v--s251111607,Colorful,36 tháng,NVIDIA,GeForce RTX 50 series,GeForce RTX 5060 Gaming DUO 8GB-V,,GeForce RTX 5060,8GB  GDDR7 ( 28Gbps / 128-bit ),,Base: 2280Mhz; Boost:2497Mhz,,3840  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,,20 x 12 x 4 cm,Không,,,8.0,550.0,mid
vga_008,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 6000 96G MAX-Q (96GB GDDR7),340900000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-6000-96g-max-q--s251102058,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 6000 96G MAX-Q,,RTX PRO 6000,96GB  GDDR7  512-bit ),,,PCI-E 5.0 x16,24064  CUDA cores,4 x DisplayPort 2.1,Tản nhiệt 1 quạt,1 x 16-pin,300W,,4.4 x 10.5 cm,,,,96.0,300.0,budget
vga_009,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 6000 96G WORKSTATION (96GB GDDR7),342900000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-6000-96g-workstation--s251102052,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 6000 96G WORKSTATION,,RTX PRO 6000,96GB  GDDR7  512-bit ),,,PCI-E 5.0 x16,24064  CUDA cores,4 x DisplayPort 2.1,Tản nhiệt 1 quạt,1 x 16-pin,600W,,54 x 12 cm,,,,96.0,600.0,budget
vga_010,VGA,Card màn hình LEADTEK NVIDIA RTX 4000 ADA 20G,46990000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-4000-ada-20g--s251102017,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX 4000 ADA 20G,,RTX 4000 ADA,20GB,,,,,,,,,,,,,,20.0,,budget
vga_011,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 2000 16GB GDDR7,29390000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-2000-16gb--s251102003,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 2000 16GB,,RTX PRO 2000,16GB  GDDR7  128-bit ),,,PCI-E 5.0 x 8,4352  CUDA cores,4 x DisplayPort 2.1b,Tản nhiệt 1 quạt,,70W,,2.7 x 6.6 cm,,,,16.0,70.0,budget
vga_012,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 4000 SFF 24G (24GB GDDR7),62990000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-4000-sff-24g--s251101996,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 4000 SFF 24G,,RTX PRO 4000,24GB  GDDR7  192-bit ),,,PCI-E 5.0 x 8,8960  CUDA cores,4 x DisplayPort 2.1b,Tản nhiệt 1 quạt,,70W,,2.7 x 6.6 cm,,,,24.0,70.0,budget
vga_013,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 4000 24G (24GB GDDR7),63990000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-4000-24g--s251101989,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 4000 24G,,RTX PRO 4000,24GB  GDDR7  192-bit ),,,PCI-E 5.0 x16,8960  CUDA cores,4 x DisplayPort 2.1,Tản nhiệt 1 quạt,1 x 16-pin,140W,,4.4 x 9.5 cm,,,,24.0,140.0,budget
vga_014,VGA,Card màn hình LEADTEK NVIDIA RTX PRO 5000 48G GDDR7,190900000,https://phongvu.vn/card-man-hinh-leadtek-nvidia-rtx-pro-5000-48g--s251101972,Leadtek,36 tháng,NVIDIA,,LEADTEK NVIDIA RTX PRO 5000 48G,,RTX PRO 5000,48GB  GDDR7,,,PCI-E 5.0 x16,14080  CUDA cores,4 x DisplayPort 2.1,Tản nhiệt 1 quạt,1 x 16-pin,300W,,4.4 x 10.5 cm,,,,48.0,300.0,budget
vga_015,VGA,Card màn hình ASUS ROG Astral GeForce RTX 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,52990000,https://phongvu.vn/card-man-hinh-asus-rog-astral-geforce-rtx-5080-16gb-gddr7-oc-hatsune-miku-edition--s251101072,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,,GeForce RTX 5080,16GB  GDDR7 ( 30 Gbps / 256-bit ),ROG,OC mode: 2790 MHz -  Default mode: 2760 MHz (Boost Clock),PCI-E 5.0,10752  CUDA cores,"2 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 16-pin,850W,không hỗ trợ,357.6 x 149.3 x 76 mm,ARGB,,,16.0,850.0,high
vga_016,VGA,Card màn hình INNO3D GEFORCE RTX 5060 Ti 16GB TWIN X2 OC GDDR7 (N506T2-16D7X-191073N),18690000,https://phongvu.vn/vga-inno3d-rtx-5060-ti-16gb-twin-x2-oc--s251001985,Inno3d,36 tháng,NVIDIA,GeForce RTX 50 series,INNO3D GEFORCE RTX 5060 Ti 16GB TWIN X2 OC,N506T2-16D7X-191073N,GeForce RTX 5060Ti,16GB  GDDR7 ( 28Gbps / 128-bit ),,Boost Clock (MHz):  2602MHz -  Base Clock (MHz): 2235MHz,PCI-E 5.0,4608  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,650W,,250 x 41 x 116 mm,,,,16.0,650.0,mid-high
vga_017,VGA,Card màn hình INNO3D GeForce RTX 5060 Ti 16GB TWIN X2 GDDR7 (N506T2-16D7-191073N),18790000,https://phongvu.vn/vga-inno3d-rtx-5060-ti-16gb-twin-x2--s251001982,Inno3d,36 tháng,NVIDIA,GeForce RTX 50 series,INNO3D GeForce RTX 5060 Ti 16GB TWIN X2,N506T2-16D7-191073N,GeForce RTX 5060Ti,16GB  GDDR7 ( 28Gbps / 128-bit ),,Boost Clock (MHz): 2572MHz - Base Clock (MHz): 2407MHz,PCI-E 5.0,4608  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,650W,,250 x 41 x 116 mm,,,,16.0,650.0,mid-high
vga_018,VGA,Card màn hình INNO3D GEFORCE RTX 5060 TWIN X2 OC 8GB GDDR7 (N50602-08D7X-195070N),9990000,https://phongvu.vn/vga-inno3d-rtx-5060-twin-x2-oc--s251001974,Inno3d,36 tháng,NVIDIA,GeForce RTX 50 series,INNO3D GEFORCE RTX 5060 TWIN X2 OC,N50602-08D7X-195070N,GeForce RTX 5060,8GB  GDDR7 ( 28Gbps / 128-bit ),,CUDA Cores 3840 Boost Clock (MHz): 2527MHz -  Base Clock (MHz) 2280MHz,PCI-E 5.0,3840  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,,250 x 41 x 116 mm,,,,8.0,550.0,mid-high
vga_019,VGA,Card màn hình Msi RTX™ 5060 Ti 16G SHADOW 2X OC PLUS 16GB GDDR7 (G506T-16S2CP),18990000,https://phongvu.vn/card-man-hinh-vga-msi-geforce-rtxtm-5060-ti-16g-shadow-2x-oc-plus--s250719828,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX™ 5060 Ti 16G SHADOW 2X OC PLUS,G506T-16S2CP,GeForce RTX 5060Ti,16GB  GDDR7 ( 28 Gbps / 128-bit ),SHADOW,Extreme Performance: 2617 MHz (MSI Center) Boost: 2602 MHz,PCI-E 5.0 x16,4608  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,600W,không hỗ trợ,226 x 126 x 41 mm,,,,16.0,600.0,mid-high
vga_020,VGA,Card màn hình ASUS Dual GeForce RTX™ 5050 8GB GDDR6 OC Edition (DUAL-RTX5050-O8G),9190000,https://phongvu.vn/card-man-hinh-asus-dual-geforce-rtx-5050-8gb-gddr6-oc-edition--s250713732,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,RTX™ 5050 8GB GDDR6 OC Edition,90YV0N72-M0NA00,GeForce RTX 5050,8GB  GDDR6 ( 20 Gbps / 128-bit ),DUAL,OC mode: 2677 MHz -  Default mode: 2647 MHz (Boost Clock),PCI-E 5.0,2560  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,,203 x 120.2 x 40 mm,,,,8.0,550.0,budget
vga_021,VGA,Card màn hình Gigabyte GeForce RTX™ 5050 WINDFORCE OC 8GB GDDR6 (GV-N5050WF2OC-8GD),7890000,https://phongvu.vn/card-man-hinh-gigabyte-geforce-rtx-5050-windforce-oc-8g--s250713725?selectPromotionId=1960347,Gigabyte,36 tháng,NVIDIA,GeForce RTX 50 series,RTX™ 5050 WINDFORCE OC 8G,GV-N5050WF2OC-8GD,GeForce RTX 5050,8GB  GDDR6 ( 20 Gbps / 128-bit ),WindForce,2587 MHz (Reference card : 2572MHz),PCI-E 5.0,2560  CUDA cores,"2 x HDMI 2.1b , 2 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,,199 x 116 x 40 mm,,,,8.0,550.0,budget
vga_022,VGA,Card màn hình Asus RTX™ 5050 8GB GDDR6 8GB GDDR6 (90YV0N73-M0NA00),8390000,https://phongvu.vn/card-man-hinh-vga-asus-dual-geforce-rtxtm-5050-8gb-gddr6-dual-rtx5050-8g--s250713728,Asus,36 tháng,NVIDIA,GeForce RTX 50 series,RTX™ 5050 8GB GDDR6,90YV0N73-M0NA00,GeForce RTX 5050,8GB  GDDR6 ( 20 Gbps / 128-bit ),DUAL,OC mode: 2602 MHz -  Default mode: 2572 MHz (Boost Clock),PCI-E 5.0,2560  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,,203 x 120.2 x 40 mm,,,,8.0,550.0,budget
vga_023,VGA,Card màn hình MSI RTX 5050 8G SHADOW 2X OC (8GB GDDR6),9090000,https://phongvu.vn/card-man-hinh-msi-geforce-rtx-5050-8g-shadow-2x-oc--s250710711,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5050 8G SHADOW 2X OC,,GeForce RTX 5050,8GB  GDDR6 ( 20 Gbps / 128-bit ),SHADOW,Extreme Performance: 2617 MHz (MSI Center) - Boost: 2602 MHz,PCI-E 5.0 x16,2560  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,không hỗ trợ,197 x 120 x 40 mm,,,,8.0,550.0,budget
vga_024,VGA,Card màn hình MSI RTX 5050 8G VENTUS 2X OC (8GB GDDR6),9990000,https://phongvu.vn/card-man-hinh-msi-geforce-rtx-5050-8g-ventus-2x-oc--s250710712,Msi,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5050 8G VENTUS 2X OC,,GeForce RTX 5050,8GB  GDDR6 ( 20 Gbps / 128-bit ),VENTUS,Extreme Performance: 2617 MHz (MSI Center) - Boost: 2602 MHz,PCI-E 5.0 x16,2560  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,không hỗ trợ,197 x 120 x 41 mm,,,,8.0,550.0,budget
vga_025,VGA,Card màn hình Colorful iGame GeForce RTX 5060 Ultra W OC 8GB-V,12990000,https://phongvu.vn/card-man-hinh-colorful-igame-geforce-rtx-5060-ultra-w-oc-8gb-v--s250709459,Colorful,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5060 Ultra W OC 8GB-V,,GeForce RTX 5060,8GB  GDDR7 ( 28Gbps / 128-bit ),,- Core Clock Base: 2280Mhz；Boost:2497Mhz - - One-Key OC Base：2280Mhz；Boost:2580Mhz,,3840  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 3 quạt,1 x 8-pin,550W,không hỗ trợ,300.5 x 120 x 50 mm,,,,8.0,550.0,mid
vga_026,VGA,Card màn hình Colorful RTX 5060 Ultra W DUO OC 8GB-V (8GB GDDR7),9990000,https://phongvu.vn/card-man-hinh-colorful-igame-geforce-rtx-5060-ultra-w-duo-oc-8gb-v--s250709451,Colorful,36 tháng,NVIDIA,GeForce RTX 50 series,RTX 5060 Ultra W DUO OC 8GB-V,,GeForce RTX 5060,8GB  GDDR7 ( 28Gbps / 128-bit ),,Core Clock	Base：2280Mhz；Boost:2497Mhz - One-Key OC	Base：2280Mhz；Boost:2580Mhz,,3840  CUDA cores,"1 x HDMI 2.1b , 3 x DisplayPort 2.1b",Tản nhiệt 2 quạt,1 x 8-pin,550W,không hỗ trợ,231 x 120 x 49mm,,,,8.0,550.0,mid
